trial_id,experiment,table_metric,setting,metric,algorithm,value,experiment_id,scenario,environment_id,master_seed,deployment_seed,energy_seed,demand_seed,mobility_seed,efficiency_seed,scenario_seed,algorithm_seed
0,fig11_utility_efficiency,Utility-normalized charging efficiency,"Dense network, N=600",eta_util,MC3,6.45620806747,fig11_utility_efficiency,S0,fig11_utility_efficiency-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig11_utility_efficiency,Utility-normalized charging efficiency,"Dense network, N=600",eta_util,SCOPE,7.74761715388,fig11_utility_efficiency,S0,fig11_utility_efficiency-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Cavg,fig16_computation_time,Cavg,CAERM,0.821783322657,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Cavg,fig16_computation_time,Cavg,Dist-Greedy,0.680382060492,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Cavg,fig16_computation_time,Cavg,MC3,0.852988371802,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Cavg,fig16_computation_time,Cavg,SCOPE,0.937943491698,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Computation time per decision (ms),"Dense network, N=600",Tcomp_ms,CAERM,977.280556503,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Computation time per decision (ms),"Dense network, N=600",Tcomp_ms,Dist-Greedy,9.38484246391,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Computation time per decision (ms),"Dense network, N=600",Tcomp_ms,MC3,736.453582153,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig16_computation_time,Computation time per decision (ms),"Dense network, N=600",Tcomp_ms,SCOPE,48.0901163631,fig16_computation_time,S0,fig16_computation_time-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Cavg,fig17_obstacle_robustness,Cavg,CAERM,0.759957905371,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Cavg,fig17_obstacle_robustness,Cavg,Dist-Greedy,0.613804769027,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Cavg,fig17_obstacle_robustness,Cavg,MC3,0.799151398496,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Cavg,fig17_obstacle_robustness,Cavg,SCOPE,0.87471615492,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Davg_S3,fig17_obstacle_robustness,Davg_S3,CAERM,3.87804878049,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Davg_S3,fig17_obstacle_robustness,Davg_S3,Dist-Greedy,4.5756097561,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Davg_S3,fig17_obstacle_robustness,Davg_S3,MC3,1.92682926829,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Davg_S3,fig17_obstacle_robustness,Davg_S3,SCOPE,0.243902439024,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Lavg_S3,fig17_obstacle_robustness,Lavg_S3,CAERM,57.8,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Lavg_S3,fig17_obstacle_robustness,Lavg_S3,Dist-Greedy,30,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Lavg_S3,fig17_obstacle_robustness,Lavg_S3,MC3,37,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Lavg_S3,fig17_obstacle_robustness,Lavg_S3,SCOPE,83.5,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Rcov_S3,fig17_obstacle_robustness,Rcov_S3,CAERM,93.8455406417,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Rcov_S3,fig17_obstacle_robustness,Rcov_S3,Dist-Greedy,93.7114076848,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Rcov_S3,fig17_obstacle_robustness,Rcov_S3,MC3,95.04795321,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
0,fig17_obstacle_robustness,Rcov_S3,fig17_obstacle_robustness,Rcov_S3,SCOPE,95.5671564041,fig17_obstacle_robustness,S3,fig17_obstacle_robustness-trial-0,2026062300,2026062301,2026062302,2026062303,2026062304,2026062305,2026062306,2026062307
